date,eur,usd,gbp,aud,nzd,cad,chf,jpy
2019_01_02,-1170,3280,-1235,-654,-591,490,-891,771
2019_01_03,479,-4003,389,209,403,960,330,1233
2019_01_04,45,-2924,1002,1149,448,1123,19,-862
2019_01_07,805,-3017,540,337,110,742,666,-183
2019_01_08,-328,1347,-679,-82,-301,234,-162,-29
2019_01_09,1022,-4679,765,321,680,650,648,593
2019_01_10,-415,2272,-373,163,-61,-303,-995,-288
2019_01_11,-363,-990,953,297,526,-337,37,-123
2019_01_14,109,-528,176,-135,-34,-241,348,305
2019_01_15,-558,1540,35,83,-51,160,-675,-534
2019_01_16,-200,1295,217,-319,-362,65,-274,-422
2019_01_17,-44,-368,1076,263,-119,-260,-401,-147
2019_01_18,-267,2446,-1137,-267,-181,106,-146,-554
2019_01_21,51,692,137,-70,-180,-354,-308,32
2019_01_22,-46,4,665,-375,195,-626,-108,291
2019_01_23,204,-2063,1215,190,378,87,236,-247
2019_01_24,-729,1887,-52,-486,-257,-156,-142,-65
2019_01_25,1028,-5630,1353,869,758,1272,253,97
2019_01_28,253,256,-287,-117,22,-446,102,217
2019_01_29,58,1347,-837,-110,24,-94,-352,-36
2019_01_30,476,-3989,519,921,650,1154,8,261
2019_01_31,-319,-667,41,282,287,242,-39,173
2019_02_01,71,1196,-177,-284,-209,229,-188,-638
2019_02_04,-150,1615,-280,-210,-100,-174,-308,-393
2019_02_05,-314,1409,-832,94,117,-144,-219,-111
2019_02_06,-413,4109,-171,-1238,-1153,-856,-273,-5
2019_02_07,-233,1181,213,-25,-260,-971,-52,147
2019_02_08,-157,-17,-111,-106,-45,256,139,41
2019_02_11,-436,2785,-688,-252,-73,-309,-393,-634
2019_02_12,507,-1539,432,312,61,654,-286,-141
2019_02_13,-640,1565,-460,-65,612,-187,-285,-540
2019_02_14,342,-953,-454,167,429,-424,398,495
2019_02_15,-41,-1797,844,329,276,435,-52,6
2019_02_18,169,-308,189,-40,-79,139,82,-152
2019_02_19,312,-3027,1439,339,369,252,322,-6
2019_02_20,-39,353,-88,-2,-264,363,-77,-246
2019_02_21,-35,1979,-144,-738,-542,-563,-83,126
2019_02_22,-25,-1956,251,392,398,896,10,34
2019_02_25,209,-15,247,322,226,-527,-53,-409
2019_02_26,285,-2542,1303,218,98,192,-9,455
2019_02_27,-197,985,577,-453,-400,81,-171,-422
2019_02_28,11,1465,-455,-431,-351,-208,364,-395
2019_03_01,-74,2902,-577,-126,-119,-1364,-113,-529
2019_03_04,-413,1492,-639,-150,52,-291,-146,95
2019_03_05,-320,1665,57,-27,-176,-489,-559,-151
2019_03_06,-8,1709,-37,-504,-187,-884,-139,50
2019_03_07,-1129,2963,-868,-160,-121,-173,-693,181
2019_03_08,394,-1520,-659,280,510,285,325,385
2019_03_11,145,-2403,1833,394,425,187,-366,-215
2019_03_12,421,-568,-749,123,305,386,262,-180
